Id,Reputation
"261","310"
"262","430"
"263","1215"
"264","101"
"265","101"
"266","121"
"267","465"
"268","197"
"269","126"
"270","101"
"271","101"
"272","101"
"273","101"
"274","1573"
"275","316"
"276","347"
"277","253"
"278","101"
"279","473"
"280","117"
"281","66"
"282","183"
"283","305"
"284","750"
"285","101"
"286","468"
"288","20017"
"289","312"
"290","492"
"291","431"
"292","758"
"293","121"
"294","293"
"295","998"
"297","123"
"299","101"
"300","31"
"301","41"
"302","510"
"303","291"
"305","434"
"306","101"
"307","101"
"308","131"
"309","348"
"310","335"
"312","564"
"313","101"
"315","148"
"316","178"
"317","101"
"318","278"
"320","396"
"321","235"
"322","523"
"323","10956"
"324","101"
"325","210"
"326","201"
"327","196"
"328","850"
"329","101"
"331","101"
"332","249"
"334","101"
"335","886"
"336","101"
"337","3100"
"338","236"
"342","101"
"345","231"
"346","101"
"347","111"
"348","707"
"349","156"
"350","682"
"353","3398"
"354","150"
"355","141"
"356","306"
"357","101"
"358","159"
"359","101"
"360","643"
"361","101"
"362","561"
"363","118"
"364","1904"
"365","148"
"366","101"
"367","101"
"369","101"
"370","5626"
"371","351"
"373","523"
"374","141"
"375","101"
"376","146"
"377","101"
"378","550"
"379","101"
"381","103"
"382","700"
"383","156"
"385","101"
"386","121"
"387","136"
"388","161"
"389","691"
"390","106"
"392","530"
"393","301"
"395","6045"
"396","101"
"397","101"
"398","111"
"400","571"
"401","101"
"402","478"
"403","416"
"404","140"
"405","21"
"406","101"
"407","101"
"408","101"
"409","156"
"411","101"
"414","101"
"415","101"
"416","101"
"417","101"
"418","6"
"419","81"
"420","101"
"422","801"
"424","590"
"426","111"
"427","916"
"428","101"
"430","994"
"432","101"
"433","101"
"434","198"
"435","111"
"436","101"
"437","61"
"438","101"
"439","73"
"441","271"
"445","101"
"447","21"
"448","121"
"449","161"
"450","2168"
"451","101"
"452","1476"
"454","116"
"455","12"
"457","336"
"458","4332"
"459","111"
"461","262"
"465","1022"
"466","101"
"469","892"
"470","441"
"472","101"
"474","101"
"475","6"
"477","101"
"478","76"
"481","131"
"482","101"
"483","101"
"485","101"
"486","151"
"487","101"
"488","608"
"490","1374"
"492","103"
"493","336"
"495","121"
"496","101"
"497","31"
"500","311"
"501","179"
"502","113"
"503","131"
"504","209"
"510","101"
"512","101"
"516","342"
"517","101"
"518","101"
"520","101"
"521","101"
"522","61"
"523","101"
"524","101"
"525","21"
"526","101"
"528","942"
"530","101"
"532","101"
"533","31"
"534","101"
"535","101"
"536","101"
"538","11"
"539","1459"
"541","148"
"542","186"
"543","136"
"545","1633"
"547","101"
"548","131"
"549","198"
"550","131"
"551","95"
"552","21"
"553","168"
"554","36"
"555","101"
"556","101"
"557","101"
"558","101"
"560","326"
"561","147"
"562","298"
"563","101"
"564","101"
"565","101"
"566","117"
"567","533"
"568","116"
"569","101"
"570","101"
"572","101"
"573","188"
"574","1651"
"577","101"
"579","101"
"580","101"
"581","1076"
"582","173"
"583","101"
"584","221"
"585","101"
"587","221"
"588","101"
"590","101"
"591","73"
"592","19"
"593","101"
"599","101"
"600","101"
"601","98"
"602","101"
"603","254"
"605","116"
"606","101"
"609","28"
"612","101"
"613","546"
"614","601"
"616","101"
"618","61"
"619","483"
"622","101"
"623","101"
"625","111"
"626","101"
"627","500"
"628","101"
